,text,star,hp_data,city,transformed_date,product_num
118,Vegetable drawer unbale to fully close,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Pune,"Apr, 2024","Elegant Inox, RT28C3733S8/HL"
119,Bad,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Ghaziabad,"Apr, 2024","Elegant Inox, RT28C3733S8/HL"
120,No cooling in the lower compartment.,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Paradip,"Apr, 2024","Elegant Inox, RT28C3733S8/HL"
121,Exposed coil on back..236 liter convertible Frost free black doi colour,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Jajapur District,"Mar, 2024","Elegant Inox, RT28C3733S8/HL"
122,Very Good 👍,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Bithoor,"Mar, 2024","Elegant Inox, RT28C3733S8/HL"
123,Waste product flipcart customer service is not response my message nd don't call nd fridge is not working,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Hyderabad,"Mar, 2024","Elegant Inox, RT28C3733S8/HL"
124,Stopped working after 4 mo,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Shimla,"Mar, 2024","Elegant Inox, RT28C3733S8/HL"
125,Bad,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Contai,"Dec, 2023","Elegant Inox, RT28C3733S8/HL"
126,Just go for it guys,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Roorkee,"Nov, 2023","Elegant Inox, RT28C3733S8/HL"
127,Bad,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Warangal Urban District,"Nov, 2023","Elegant Inox, RT28C3733S8/HL"
128,Very bad,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Neyyattinkara,"Oct, 2023","Elegant Inox, RT28C3733S8/HL"
129,Worse,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Krishna,"Oct, 2023","Elegant Inox, RT28C3733S8/HL"
